"name","lat","lon","sector"
"San Diego Christian College",32.84281,-116.978151,"Private"
"Church Divinity School of the Pacific",37.876169,-122.261391,"Private"
"Claremont Graduate University",34.103778,-117.712394,"Private"
"Claremont McKenna College",34.102323,-117.706593,"Private"
"Coleman University",32.821962,-117.136493,"Private"
"Western University of Health Sciences",34.058092,-117.747732,"Private"
"Columbia CollegeHollywood",34.179596,-118.538394,"Private"
"DellArte International School of Physical Theatre",40.880871,-123.988878,"Private"
"Dominican University of California",37.980014,-122.514654,"Private"
"Dominican School of Philosophy  Theology",37.881099,-122.264612,"Private"
"Fielding Graduate University",34.42941,-119.717161,"Private"
"Franciscan School of Theology",33.23023,-117.319616,"Private"
"Fresno Pacific University",36.725279,-119.731953,"Private"
"Fuller Theological Seminary in California",34.14778,-118.140261,"Private"
"Golden Gate UniversitySan Francisco",37.789208,-122.398785,"Private"
"Graduate Theological Union",37.87554,-122.261847,"Private"
"Harvey Mudd College",34.106137,-117.710594,"Private"
"Holy Names University",37.802654,-122.18717,"Private"
"Humboldt State University",40.8741,-124.0814,"Public"
"Humphreys CollegeStockton and Modesto Campuses",38.011051,-121.316401,"Private"
"John F Kennedy University",37.881794,-122.183972,"Private"
"American Jewish University",34.128099,-118.471764,"Private"
"Life Pacific College",34.089421,-117.830997,"Private"
"University of La Verne",34.10086,-117.772634,"Private"
"Laguna College of Art and Design",33.561448,-117.772564,"Private"
"Life Chiropractic College West",37.637639,-122.11627,"Private"
"Lincoln University",37.804788,-122.269745,"Private"
"Southern California Seminary",32.803259,-116.900531,"Private"
"La Sierra University",33.908834,-117.497071,"Private"
"Loma Linda University",34.050975,-117.261086,"Private"
"Southern California University of Health Sciences",33.924638,-117.985447,"Private"
"The Masters College and Seminary",34.38214,-118.517422,"Private"
"Loyola Marymount University",33.970633,-118.415655,"Private"
"Marymount California University",33.73463,-118.333404,"Private"
"Menlo College",37.452906,-122.181444,"Private"
"Mills College",37.782639,-122.18789,"Private"
"Middlebury Institute of International Studies at Monterey",36.599827,-121.896813,"Private"
"Mount Saint Marys University",34.082112,-118.480471,"Private"
"National University",32.909469,-117.244243,"Private"
